,Year,Month,Day,Mean Temp (C),Total Rain (mm),Total Snow (mm),Total Precip (mm),Winter,Summer,Spring,Fall
2779,2014,12,3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
146,2014,1,9,-11.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1009,2015,5,20,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2376,1979,10,1,8.5,84.2,0.0,84.2,0.0,0.0,0.0,1.0
2782,2013,12,31,-9.0,0.0,10.0,1.0,1.0,0.0,0.0,0.0
741,2016,4,28,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1788,2014,8,8,20.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2809,2013,12,4,3.0,3.0,0.0,3.0,1.0,0.0,0.0,0.0
1076,1997,5,1,9.6,65.4,0.0,65.4,0.0,0.0,1.0,0.0
465,2018,3,14,-2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1436,2017,7,6,23.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1145,2018,6,21,18.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2179,2018,10,9,21.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2449,2017,11,13,3.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
1367,1950,6,1,17.7,64.0,0.0,64.0,0.0,1.0,0.0,0.0
1216,2016,6,10,16.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
262,2017,2,25,3.0,12.0,0.0,12.0,1.0,0.0,0.0,0.0
1169,2017,6,27,16.0,4.0,0.0,4.0,0.0,1.0,0.0,0.0
2077,2013,9,5,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2882,1943,12,1,-4.8,10.7,48.0,15.5,1.0,0.0,0.0,0.0
1047,2014,5,13,17.0,5.0,0.0,5.0,0.0,0.0,1.0,0.0
416,1969,2,1,-5.1,0.8,135.0,15.7,1.0,0.0,0.0,0.0
2724,2015,12,27,1.0,4.0,0.0,4.0,1.0,0.0,0.0,0.0
325,2015,2,19,-18.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
155,2013,1,1,-2.1,54.2,144.0,66.4,1.0,0.0,0.0,0.0
2383,1972,10,1,6.3,98.6,3.0,98.8,0.0,0.0,0.0,1.0
2556,2013,11,26,0.0,0.0,20.0,3.0,0.0,0.0,0.0,1.0
14,2018,1,17,-10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
400,1985,2,1,-5.8,36.5,410.0,83.1,1.0,0.0,0.0,0.0
2322,2013,10,21,12.0,8.0,0.0,8.0,0.0,0.0,0.0,1.0
95,2015,1,29,-4.0,0.0,50.0,6.0,1.0,0.0,0.0,0.0
1848,1991,8,1,21.1,91.4,0.0,91.4,0.0,1.0,0.0,0.0
158,2010,1,1,-5.2,17.0,108.0,24.4,1.0,0.0,0.0,0.0
1995,2015,9,27,16.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
80,2016,1,13,-9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1951,2017,9,11,16.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
414,1971,2,1,-5.2,40.9,318.0,71.1,1.0,0.0,0.0,0.0
704,2018,4,5,-2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
745,2016,4,24,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1428,2017,7,14,23.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
884,1958,4,1,8.1,28.7,71.0,35.8,0.0,0.0,1.0,0.0
283,2017,2,4,-6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2741,2015,12,10,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1974,2016,9,18,22.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2519,2015,11,3,15.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1998,2015,9,24,19.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1717,2016,8,17,22.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2252,2015,10,29,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
921,2018,5,15,16.0,19.0,0.0,19.0,0.0,0.0,1.0,0.0
255,2018,2,4,-4.0,0.0,50.0,5.0,1.0,0.0,0.0,0.0
1529,2014,7,6,22.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1306,2011,6,1,19.1,59.0,0.0,59.0,0.0,1.0,0.0,0.0
2536,2014,11,16,-1.0,0.0,20.0,2.0,0.0,0.0,0.0,1.0
1350,1967,6,1,19.3,150.9,0.0,150.9,0.0,1.0,0.0,0.0
199,1969,1,1,-6.5,37.1,170.0,50.3,1.0,0.0,0.0,0.0
1162,2018,6,4,17.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
2040,2014,9,12,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
696,2018,4,13,4.0,7.0,0.0,7.0,0.0,0.0,1.0,0.0
1097,1976,5,1,10.6,112.3,23.0,114.6,0.0,0.0,1.0,0.0
1647,2018,8,25,23.0,18.0,0.0,18.0,0.0,1.0,0.0,0.0
809,2014,4,20,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
516,2016,3,25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
969,2016,5,29,26.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
593,2014,3,10,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2462,2016,11,30,9.0,7.0,0.0,7.0,0.0,0.0,0.0,1.0
1800,2013,8,27,23.0,14.0,0.0,14.0,0.0,1.0,0.0,0.0
23,2018,1,8,0.0,1.0,40.0,4.0,1.0,0.0,0.0,0.0
512,2016,3,29,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
281,2017,2,6,-2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2742,2015,12,9,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
604,2012,3,1,6.7,15.6,24.0,18.0,0.0,0.0,1.0,0.0
344,2014,2,28,-14.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1988,2016,9,4,19.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2430,2018,11,2,4.0,5.0,0.0,5.0,0.0,0.0,0.0,1.0
499,2017,3,11,-10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1205,2016,6,21,20.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1906,2018,9,26,18.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
639,1977,3,1,2.2,57.0,172.0,71.9,0.0,0.0,1.0,0.0
1396,2018,7,15,26.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2477,2016,11,15,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1181,2017,6,15,18.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2418,2018,11,14,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2487,2016,11,5,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1432,2017,7,10,22.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1018,2015,5,11,16.0,6.0,0.0,6.0,0.0,0.0,1.0,0.0
1596,1982,7,1,20.9,31.1,0.0,31.1,0.0,1.0,0.0,0.0
1503,2015,7,1,20.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2004,2015,9,18,22.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
315,2016,2,1,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2251,2015,10,30,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
226,1942,1,1,-5.5,21.8,152.0,37.1,1.0,0.0,0.0,0.0
91,2016,1,2,-2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1150,2018,6,16,22.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2272,2015,10,9,11.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
2651,1943,11,1,1.9,29.2,114.0,40.6,0.0,0.0,0.0,1.0
213,1955,1,1,-5.8,15.0,221.0,37.1,1.0,0.0,0.0,0.0
2804,2013,12,9,-2.0,0.0,10.0,2.0,1.0,0.0,0.0,0.0
1175,2017,6,21,18.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
282,2017,2,5,-2.0,0.0,10.0,1.0,1.0,0.0,0.0,0.0
1985,2016,9,7,29.0,33.0,0.0,33.0,0.0,0.0,0.0,1.0
2079,2013,9,3,17.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2353,2002,10,1,8.9,43.0,0.0,43.0,0.0,0.0,0.0,1.0
2734,2015,12,17,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2619,1975,11,1,6.4,52.8,25.0,54.9,0.0,0.0,0.0,1.0
1943,2017,9,19,23.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1882,1957,8,1,19.2,61.0,0.0,61.0,0.0,1.0,0.0,0.0
271,2017,2,16,-7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
391,1994,2,1,-8.3,0.0,248.0,20.2,1.0,0.0,0.0,0.0
1489,2015,7,15,17.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
151,2014,1,4,-5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1190,2017,6,6,14.0,3.0,0.0,3.0,0.0,1.0,0.0,0.0
836,2006,4,1,8.2,62.4,0.0,62.4,0.0,0.0,1.0,0.0
1444,2016,7,29,24.0,4.0,0.0,4.0,0.0,1.0,0.0,0.0
1895,1944,8,1,21.3,54.9,0.0,54.9,0.0,1.0,0.0,0.0
507,2017,3,3,-8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2447,2017,11,15,5.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0
2421,2018,11,11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1748,2015,8,17,27.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2120,1974,9,1,13.9,46.5,0.0,46.5,0.0,0.0,0.0,1.0
2039,2014,9,13,11.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0
2360,1995,10,1,11.0,131.8,0.0,131.8,0.0,0.0,0.0,1.0
17,2018,1,14,-12.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
197,1971,1,1,-9.2,4.8,307.0,29.2,1.0,0.0,0.0,0.0
2067,2013,9,15,15.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0
1753,2015,8,12,19.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
72,2016,1,21,-7.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0
864,1978,4,1,4.0,61.7,22.0,63.9,0.0,0.0,1.0,0.0
2868,1957,12,1,-0.2,58.4,104.0,68.8,1.0,0.0,0.0,0.0
2593,2001,11,1,7.1,75.0,0.0,75.0,0.0,0.0,0.0,1.0
614,2002,3,1,0.4,44.1,176.0,61.3,0.0,0.0,1.0,0.0
2847,1978,12,1,-2.8,40.3,216.0,61.1,1.0,0.0,0.0,0.0
952,2017,5,15,13.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2440,2017,11,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1970,2016,9,22,22.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1172,2017,6,24,20.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
866,1976,4,1,7.7,47.8,152.0,72.1,0.0,0.0,1.0,0.0
212,1956,1,1,-5.7,5.6,373.0,42.9,1.0,0.0,0.0,0.0
195,1973,1,1,-4.3,19.6,140.0,34.3,1.0,0.0,0.0,0.0
567,2015,3,5,-13.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2478,2016,11,14,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
147,2014,1,8,-13.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2086,2008,9,1,16.9,83.4,0.0,83.4,0.0,0.0,0.0,1.0
2057,2013,9,25,15.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2780,2014,12,2,-4.0,0.0,10.0,1.0,1.0,0.0,0.0,0.0
7,2018,1,24,-8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2547,2014,11,5,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
743,2016,4,26,4.0,12.0,0.0,12.0,0.0,0.0,1.0,0.0
341,2015,2,3,-11.0,0.0,10.0,1.0,1.0,0.0,0.0,0.0
900,1942,4,1,8.9,29.7,137.0,43.4,0.0,0.0,1.0,0.0
2305,2014,10,7,14.0,8.0,0.0,8.0,0.0,0.0,0.0,1.0
891,1951,4,1,6.3,108.2,5.0,108.7,0.0,0.0,1.0,0.0
2598,1996,11,1,0.9,23.4,68.0,29.8,0.0,0.0,0.0,1.0
2219,2016,10,31,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
993,2016,5,5,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
326,2015,2,18,-12.0,0.0,20.0,1.0,1.0,0.0,0.0,0.0
1877,1962,8,1,20.5,76.2,0.0,76.2,0.0,1.0,0.0,0.0
1249,2015,6,7,15.0,7.0,0.0,7.0,0.0,1.0,0.0,0.0
1299,2013,6,17,20.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
269,2017,2,18,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
148,2014,1,7,-21.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
589,2014,3,14,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2826,1999,12,1,-0.7,17.4,86.0,26.5,1.0,0.0,0.0,0.0
847,1995,4,1,4.1,71.8,54.0,76.6,0.0,0.0,1.0,0.0
1197,2016,6,29,20.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1645,2018,8,27,24.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1787,2014,8,9,20.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
813,2014,4,16,-2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1650,2018,8,22,18.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1184,2017,6,12,27.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
616,2000,3,1,4.5,10.2,78.0,18.8,0.0,0.0,1.0,0.0
1191,2017,6,5,15.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
701,2018,4,8,-2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1967,2016,9,25,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3,2018,1,28,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2763,2014,12,19,-3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1466,2016,7,7,27.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
152,2014,1,3,-17.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2063,2013,9,19,16.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1846,1993,8,1,21.1,39.9,0.0,39.9,0.0,1.0,0.0,0.0
178,1990,1,1,-0.8,23.1,128.0,36.7,1.0,0.0,0.0,0.0
539,2016,3,2,-8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1075,1998,5,1,17.0,71.8,0.0,71.8,0.0,0.0,1.0,0.0
2042,2014,9,10,20.0,27.0,0.0,27.0,0.0,0.0,0.0,1.0
275,2017,2,12,-2.0,0.0,160.0,14.0,1.0,0.0,0.0,0.0
2292,2014,10,20,9.0,6.0,0.0,6.0,0.0,0.0,0.0,1.0
1711,2016,8,23,22.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2094,2000,9,1,15.9,70.0,0.0,70.0,0.0,0.0,0.0,1.0
278,2017,2,9,-8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1778,2014,8,18,16.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1510,2014,7,25,19.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
174,1994,1,1,-12.4,30.6,378.0,61.0,1.0,0.0,0.0,0.0
118,2015,1,6,-11.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
73,2016,1,20,-6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1551,2013,7,15,27.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2676,2017,12,13,-10.0,0.0,10.0,1.0,1.0,0.0,0.0,0.0
2862,1963,12,1,-7.5,5.8,559.0,42.9,1.0,0.0,0.0,0.0
243,2018,2,16,-2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2198,2017,10,21,15.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1005,2015,5,24,20.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2698,2016,12,22,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2503,2015,11,19,10.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0
2288,2014,10,24,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1557,2013,7,9,23.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
2193,2017,10,26,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
458,2018,3,21,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
82,2016,1,11,-8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
90,2016,1,3,-5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1685,2017,8,18,23.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2765,2014,12,17,2.0,2.0,20.0,3.0,1.0,0.0,0.0,0.0
998,2015,5,31,9.0,20.0,0.0,20.0,0.0,0.0,1.0,0.0
1320,1997,6,1,19.8,50.8,0.0,50.8,0.0,1.0,0.0,0.0
1885,1954,8,1,19.2,91.2,0.0,91.2,0.0,1.0,0.0,0.0
2470,2016,11,22,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1476,2015,7,28,26.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1680,2017,8,23,18.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2161,2018,10,27,4.0,7.0,20.0,10.0,0.0,0.0,0.0,1.0
1280,2014,6,6,17.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
57,2017,1,5,-9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1488,2015,7,16,18.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1574,2004,7,1,20.7,119.8,0.0,119.8,0.0,1.0,0.0,0.0
1107,1966,5,1,9.4,44.7,5.0,47.2,0.0,0.0,1.0,0.0
2565,2013,11,17,12.0,12.0,0.0,12.0,0.0,0.0,0.0,1.0
1251,2015,6,5,19.0,6.0,0.0,6.0,0.0,1.0,0.0,0.0
569,2015,3,3,-6.0,1.0,50.0,6.0,0.0,0.0,1.0,0.0
2445,2017,11,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1917,2018,9,15,24.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
622,1994,3,1,-0.8,23.8,290.0,51.2,0.0,0.0,1.0,0.0
1059,2014,5,1,11.0,3.0,0.0,3.0,0.0,0.0,1.0,0.0
1749,2015,8,16,25.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1082,1991,5,1,16.3,83.6,0.0,83.6,0.0,0.0,1.0,0.0
53,2017,1,9,-6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
290,2016,2,26,-7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
124,2014,1,31,-2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
20,2018,1,11,9.0,7.0,0.0,7.0,1.0,0.0,0.0,0.0
221,1947,1,1,-4.6,45.7,526.0,98.3,1.0,0.0,0.0,0.0
2187,2018,10,1,10.0,10.0,0.0,10.0,0.0,0.0,0.0,1.0
739,2016,4,30,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1441,2017,7,1,21.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
2649,1945,11,1,3.3,42.2,124.0,54.6,0.0,0.0,0.0,1.0
1360,1957,6,1,19.2,91.9,0.0,91.9,0.0,1.0,0.0,0.0
1378,1939,6,1,18.0,51.8,0.0,51.8,0.0,1.0,0.0,0.0
801,2014,4,28,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1301,2013,6,15,18.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2117,1977,9,1,15.1,154.2,0.0,154.2,0.0,0.0,0.0,1.0
711,2017,4,28,14.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2235,2016,10,15,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
449,2018,3,30,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1813,2013,8,14,17.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
673,1943,3,1,-3.1,67.1,183.0,85.3,0.0,0.0,1.0,0.0
642,1974,3,1,-1.0,41.1,173.0,56.9,0.0,0.0,1.0,0.0
1590,1988,7,1,22.9,109.7,0.0,109.7,0.0,1.0,0.0,0.0
2154,1940,9,1,15.1,102.4,0.0,102.4,0.0,0.0,0.0,1.0
1910,2018,9,22,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1887,1952,8,1,19.8,61.0,0.0,61.0,0.0,1.0,0.0,0.0
487,2017,3,23,-3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2634,1960,11,1,5.5,52.8,107.0,57.2,0.0,0.0,0.0,1.0
641,1975,3,1,-2.5,44.5,188.0,63.8,0.0,0.0,1.0,0.0
352,2014,2,20,0.0,11.0,30.0,15.0,1.0,0.0,0.0,0.0
658,1958,3,1,1.4,2.3,226.0,24.9,0.0,0.0,1.0,0.0
238,2018,2,21,6.0,8.0,0.0,8.0,1.0,0.0,0.0,0.0
2426,2018,11,6,12.0,7.0,0.0,7.0,0.0,0.0,0.0,1.0
287,2016,2,29,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1355,1962,6,1,18.7,65.3,0.0,65.3,0.0,1.0,0.0,0.0
691,2018,4,18,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2750,2015,12,1,5.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0
1386,2018,7,25,25.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2494,2015,11,28,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2499,2015,11,23,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1869,1970,8,1,19.7,113.3,0.0,113.3,0.0,1.0,0.0,0.0
632,1984,3,1,-4.6,35.4,245.0,59.5,0.0,0.0,1.0,0.0
1860,1979,8,1,18.6,74.2,0.0,74.2,0.0,1.0,0.0,0.0
2620,1974,11,1,3.1,72.6,23.0,74.7,0.0,0.0,0.0,1.0
1534,2014,7,1,26.0,7.0,0.0,7.0,0.0,1.0,0.0,0.0
328,2015,2,16,-19.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
964,2017,5,3,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
424,1961,2,1,-3.0,41.9,234.0,59.2,1.0,0.0,0.0,0.0
2621,1973,11,1,3.6,91.4,18.0,93.0,0.0,0.0,0.0,1.0
906,2018,5,30,24.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1582,1996,7,1,19.6,97.4,0.0,97.4,0.0,1.0,0.0,0.0
2259,2015,10,22,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
288,2016,2,28,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2853,1972,12,1,-3.1,54.6,462.0,95.0,1.0,0.0,0.0,0.0
168,2000,1,1,-5.8,16.4,170.0,29.2,1.0,0.0,0.0,0.0
1120,1953,5,1,13.0,136.1,0.0,136.1,0.0,0.0,1.0,0.0
1826,2013,8,1,21.0,27.0,0.0,27.0,0.0,1.0,0.0,0.0
2836,1989,12,1,-10.1,3.6,306.0,23.8,1.0,0.0,0.0,0.0
2688,2017,12,1,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1259,2014,6,27,22.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2527,2014,11,25,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1578,2000,7,1,20.1,33.8,0.0,33.8,0.0,1.0,0.0,0.0
2070,2013,9,12,19.0,3.0,0.0,3.0,0.0,0.0,0.0,1.0
1791,2014,8,5,21.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
872,1970,4,1,6.6,71.4,74.0,81.3,0.0,0.0,1.0,0.0
2444,2017,11,18,5.0,19.0,0.0,19.0,0.0,0.0,0.0,1.0
1553,2013,7,13,22.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1125,1948,5,1,11.2,62.7,0.0,62.7,0.0,0.0,1.0,0.0
1353,1964,6,1,16.7,38.1,0.0,38.1,0.0,1.0,0.0,0.0
713,2017,4,26,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1632,1946,7,1,20.4,79.2,0.0,79.2,0.0,1.0,0.0,0.0
316,2015,2,28,-12.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1157,2018,6,9,18.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1721,2016,8,13,26.0,28.0,0.0,28.0,0.0,1.0,0.0,0.0
2511,2015,11,11,10.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
2630,1964,11,1,3.8,23.4,124.0,32.8,0.0,0.0,0.0,1.0
1142,2018,6,24,18.0,21.0,0.0,21.0,0.0,1.0,0.0,0.0
61,2017,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
770,2015,4,29,13.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1519,2014,7,16,17.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
802,2014,4,27,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1092,1981,5,1,11.8,58.1,0.0,58.1,0.0,0.0,1.0,0.0
194,1974,1,1,-5.9,34.3,356.0,66.8,1.0,0.0,0.0,0.0
1968,2016,9,24,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2525,2014,11,27,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
227,1941,1,1,-6.9,21.1,500.0,71.1,1.0,0.0,0.0,0.0
2824,2001,12,1,1.7,33.0,78.0,40.6,1.0,0.0,0.0,0.0
1392,2018,7,19,21.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1183,2017,6,13,22.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
2246,2016,10,4,17.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2568,2013,11,14,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2121,1973,9,1,15.7,53.3,0.0,53.3,0.0,0.0,0.0,1.0
2740,2015,12,11,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1991,2016,9,1,19.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1830,2009,8,1,20.6,144.0,0.0,144.0,0.0,1.0,0.0,0.0
144,2014,1,11,4.0,8.0,0.0,8.0,1.0,0.0,0.0,0.0
1230,2015,6,26,19.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
901,1941,4,1,9.2,45.0,0.0,45.0,0.0,0.0,1.0,0.0
407,1978,2,1,-9.9,0.0,155.0,9.1,1.0,0.0,0.0,0.0
1732,2016,8,2,24.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
161,2007,1,1,-2.9,23.4,158.0,38.6,1.0,0.0,0.0,0.0
1344,1973,6,1,18.4,67.8,0.0,67.8,0.0,1.0,0.0,0.0
707,2018,4,2,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
885,1957,4,1,7.7,76.2,107.0,86.9,0.0,0.0,1.0,0.0
